;SICA 1;EPSG:3116_X;EPSG:3116_Y;EPSG:4326_X;EPSG:4326_Y
86;6600103593;813745.6458;1014500.554;-75.75608885;4.72529738
87;6600101713;819067.4651;1016074.577;-75.70817362;4.739640063
88;6600101425;814072.7508;1013836.878;-75.75312733;4.719305421
89;6600100677;818627.0071;1019936.414;-75.71222454;4.774539242
90;6600103238;815751.476;1021007.741;-75.73815775;4.784160991
91;6600100421;817274.0724;1030904.931;-75.72465417;4.873657707
92;6600100282;816762.3033;1029519.622;-75.72923557;4.861124223
93;6604500338;790120.7931;1059291.323;-75.97007443;5.129570944
94;6604500294;796370.2304;1060137.905;-75.91376247;5.137386992
95;6604500956;796999.7209;1058295.121;-75.90804046;5.120747622
96;6604500736;796314.0861;1060222.559;-75.91427077;5.138150662
97;6604502303;795356.0843;1054375.599;-75.92275535;5.085279432
98;6604501818;795549.4438;1055050.273;-75.92102983;5.091382305
99;6604500515;793032.1943;1060153.525;-75.94385328;5.137440847
100;6604500585;790673.8133;1057275.037;-75.96503599;5.111362434
101;6604502394;796218.7808;1060844.452;-75.91514602;5.143769033
102;6604502557;794297.5702;1051500.302;-75.93222226;5.059264486
103;6604500399;790991.1389;1059709.034;-75.96224012;5.133369426
104;6604500037;788683.9012;1061034.449;-75.98307345;5.145286701
105;6604501612;793183.3637;1057854.892;-75.9424303;5.116669447
106;6604501269;789838.4481;1055813.142;-75.97252704;5.098127619
107;6604501555;790339.9439;1056375.488;-75.96802161;5.103223425
108;6604500729;796572.8692;1059643.515;-75.91192301;5.132923801
109;6604502153;793988.6891;1052437.706;-75.93503048;5.067728956
110;6604502552;793657.8069;1052450.803;-75.93801319;5.067838755
111;6604500730;796364.2231;1059533.754;-75.91380099;5.131926342
112;6604501300;790175.441;1062987.418;-75.96968056;5.162977713
113;6604502299;795747.2653;1055067.376;-75.91924714;5.091541991
114;6604502270;793645.5879;1052667.353;-75.93812893;5.069795658
115;6604501277;789741.0495;1056451.519;-75.97342189;5.103894678
116;6604500652;792986.1992;1057681.933;-75.94420302;5.115101042
117;6604502001;788961.3515;1060661.84;-75.98056244;5.141926559
118;6607500099;791369.4334;1040890.634;-75.95833992;4.963297166
119;6607500426;792021.3833;1038675.461;-75.95240822;4.943292828
120;6608802559;800203.1266;1063923.786;-75.87930702;5.171704048
121;6608800287;799944.3515;1070971.028;-75.88182142;5.23539345
122;6608800176;798900.6754;1070823.997;-75.89122738;5.234037342
123;6608802782;803308.076;1064825.091;-75.85133795;5.179929539
124;6608801778;803287.8759;1064852.187;-75.85152075;5.180173938
125;6608801541;802424.8595;1070270.552;-75.85943903;5.229126217
126;6608800853;800183.4166;1069415.81;-75.8796258;5.221342915
127;6608803018;804292.99;1074350.43;-75.84269947;5.266050317
128;6608803457;807165.5091;1066994.975;-75.81661508;5.199639129
129;6608802145;802986.1859;1062284.005;-75.8541759;5.156953585
130;6608800800;800404.0797;1070058.885;-75.87765293;5.227161024
131;6608801009;800271.4525;1064803.637;-75.87871355;5.179658295
132;6608801319;799820.8429;1060963.844;-75.88267774;5.144940974
133;6608803986;804437.9244;1074733.555;-75.84140241;5.269516941
134;6608803003;804462.6342;1074583.872;-75.84117579;5.268164645
135;6608801637;803755.488;1067051.053;-75.84736045;5.200060434
136;6608800488;797524.1362;1065631.702;-75.90350263;5.187071639
137;6608800832;799641.3837;1069609.083;-75.88451768;5.22307575
138;6608801400;800545.9652;1067196.671;-75.87630004;5.201294691
139;6608804014;801204.3705;1062285.438;-75.87023903;5.156921431
140;6608802394;806064.7193;1074071.646;-75.82671726;5.263575567
141;6608801987;805455.9925;1068460.38;-75.83206447;5.212841748
142;6608800182;799343.1996;1071957.316;-75.88726708;5.24429227
143;6608803808;801791.1125;1061873.96;-75.86493916;5.153217172
144;6608801028;801314.6802;1063198.523;-75.86926776;5.165177163
145;6608802732;802431.1798;1068727.699;-75.85934265;5.21518124
146;6608800987;801994.1318;1065040.623;-75.86318911;5.181844316
147;6608801031;801861.9377;1063483.123;-75.86434138;5.16776344
